id,proverb,meaning,example,relevance
34,"If the cap fits, wear it.","If something is applicable to you, accept it.","Tom was criticized for not doing his homework, and he accepted the feedback because he knew that if the cap fits, wear it.","1,2,3,4"
35,Out of the frying pan and into the fire.,Escaping one difficult situation only to enter another.,"Jenny was relieved to finish her big project, but then she realized she had an exam the next day. She felt like she was out of the frying pan and into the fire.","3,4,5,6"
36,A bird in the hand is worth two in the bush.,It's better to have something for sure than to risk losing it for something uncertain.,"Jack decided to accept the job offer he had instead of waiting for a better offer, understanding that a bird in the hand is worth two in the bush.","1,2,3,4,5,6"
37,A picture is worth a thousand words.,A visual image can convey a lot of information or emotion.,"Sarah showed her friend a photo of her puppy, and her friend immediately understood how cute and playful the puppy was. Sarah realized that a picture is worth a thousand words.","1,2"
38,Cleanliness is next to godliness.,Keeping oneself and one's surroundings clean is important.,Tom's mom always emphasized the importance of cleanliness and taught him that cleanliness is next to godliness.,"3,4"
39,Don't judge a book by its cover.,Don't form opinions about someone or something based solely on appearance.,"Jenny was hesitant to befriend a new student in her class because they looked different, but her teacher reminded her not to judge a book by its cover.","5,6"
40,All is fair in love and war.,"In certain situations, people are allowed to behave in ways that would normally be considered unacceptable.","Jack and his friend were competing in a game, and they both used competitive strategies to win. They understood that all is fair in love and war.","1,2,3,4"
41,There's no smoke without fire.,"If there are rumors or signs of something, there is likely some truth to it.","Sarah heard rumors about a surprise party for her, and she found out that it was true. She realized that there's no smoke without fire.","3,4,5,6"
42,You reap what you sow.,"Your actions have consequences, and you will face the results of your actions.",Tom didn't study for his test and ended up getting a low grade. He learned that you reap what you sow.,"1,2,3,4,5,6"
43,Haste makes waste.,Rushing or being careless can result in mistakes or wastefulness.,Jenny was in a hurry to finish her project and made several errors. Her teacher reminded her that haste makes waste.,"1,2"
44,Practice makes perfect.,Repeating and practicing a skill or activity leads to improvement.,"Jack kept practicing his guitar every day, and he gradually became better. He learned that practice makes perfect.","3,4"
45,The early bird catches the worm.,Being proactive and starting early gives an advantage.,Sarah woke up early to prepare for her exam and was able to revise all her notes before the exam. She understood that the early bird catches the worm.,"5,6"
46,It's a piece of cake.,Something is easy to do.,"Tom thought that solving the math problem would be difficult, but with his teacher's help, he realized that it's a piece of cake.","1,2,3,4"
47,You're barking up the wrong tree.,Accusing or criticizing the wrong person or thing.,"Jenny blamed her sister for eating her snack, but later found out it was her own mistake. Her mom told her that she's barking up the wrong tree.","3,4,5,6"
48,You can't make an omelet without breaking eggs.,Achieving something requires sacrifices or hardships.,"Jack knew that preparing for his school play would be challenging and time-consuming, but he believed that you can't make an omelet without breaking eggs.","1,2,3,4,5,6"
49,A stitch in time saves nine.,Taking timely action to fix a small problem can prevent it from becoming a bigger problem later.,"Sarah noticed a small tear in her shirt and immediately stitched it up, avoiding further damage. She understood that a stitch in time saves nine.","1,2"
50,Actions speak louder than words.,What you do is more important than what you say.,"Tom promised his friend that he would help with the project, but he didn't show up. His friend realized that actions speak louder than words.","3,4"
51,"When in Rome, do as the Romans do.",Adapt to the customs or behavior of a particular place or group.,"Jenny moved to a new country and learned to respect and follow the local customs. She understood that when in Rome, do as the Romans do.","5,6"
52,Don't count your chickens before they hatch.,Don't make plans or celebrate something before it actually happens.,"Jack was already planning what he would do with the money from his part-time job, but his dad reminded him not to count his chickens before they hatch.","1,2,3,4"
53,The best things in life are free.,"Things like love, friendship, and happiness are priceless and cannot be bought.","Sarah enjoyed spending time with her family and friends in the park, realizing that the best things in life are free.","3,4,5,6"
54,"When the going gets tough, the tough get going.","In difficult situations, strong people take action and persevere.","Tom faced challenges while preparing for his exams, but he didn't give up. He believed that when the going gets tough, the tough get going.","1,2,3,4,5,6"
