id","idiom","meaning","example","relevance"
26,"In a nutshell","Summing up something in a concise and simple way.","Jenny explained her plan to her teacher in a nutshell, so that he could understand it quickly.","3,4"
27,"Down the drain","Wasted or lost completely.","Tom spent hours building a sandcastle, but when the tide came in, it washed it all down the drain.","5,6"
28,"On cloud nine","Feeling extremely happy or elated.","After winning the championship, Tim was on cloud nine and couldn't stop smiling.","1,2,3,4"
29,"Bite the bullet","To endure a difficult or unpleasant situation with bravery.","Jack was nervous about getting a shot, but he knew he had to bite the bullet and get it done.","3,4,5,6"
30,"Hit the nail on the head","To be exactly right or accurate.","Sarah guessed the correct answer to the riddle and her friend said, You hit the nail on the head!","1,2,3,4,5,6"
31,"Barking up the wrong tree","Accusing or blaming the wrong person or thing.","Jenny blamed her brother for eating her chocolate, but later she realized she was barking up the wrong tree when she found out it was her dog.","1,2"
32,"Face the music","To accept the consequences of one's actions.","Tom knew he had to face the music after breaking his mom's favorite vase and apologize for his mistake.","3,4"
33,"Spill the beans","To reveal a secret or share confidential information.","Tim couldn't keep the surprise party a secret and accidentally spilled the beans to his sister.","5,6"
34,"Raining cats and dogs","Raining heavily.","Jenny forgot her umbrella and got caught in the rain. It was raining cats and dogs, and she got soaking wet.","1,2,3,4"
35,"Kick the bucket","To die.","Sarah's pet hamster passed away, and she was sad because it had kicked the bucket.","3,4,5,6"
36,"Hold your horses","To wait patiently or calm down.","Jack was getting impatient while waiting for his turn, and his mom told him to hold his horses and wait his turn.","1,2,3,4,5,6"
37,"Blow your top","To lose one's temper or get very angry.","Tim got frustrated with his computer not working and blew his top, yelling in frustration.","1,2"
38,"Throw in the towel","To give up or admit defeat.","Jenny tried her best in the dance competition, but when she didn't make it to the finals, she decided to throw in the towel.","3,4"
39,"Make ends meet","To manage or survive with limited resources or income.","Tom's family was going through a tough financial situation, but they were able to make ends meet by budgeting carefully.","5,6"
40,"All ears","Listening attentively or being eager to hear something.","When Sarah heard that her favorite band was coming to town, she was all ears and couldn't wait to get tickets.","1,2,3,4"
41,"Eyes in the back of your head","Being very observant or aware of what's happening around you.","Tim's mom seemed to have eyes in the back of her head, as she always caught him when he tried to sneak a cookie from the jar.","3,4,5,6"
42,"Up in the air","Uncertain or undecided about something.","Jenny's plans for the weekend were still up in the air, as she couldn't decide whether to go camping or stay home.","1,2,3,4,5,6"
43,"Cry over spilled milk","To be upset or complain about something that has already happened and cannot be changed.","Tom was upset about losing his favorite toy, but his mom told him not to cry over spilled milk and helped him look for it instead.","1,2"
44,"Fish out of water","Feeling uncomfortable or out of place in a new or unfamiliar situation.","Sarah felt like a fish out of water at the new school, as she didn't know anyone and was shy.","3,4"
45,"The ball is in your court","It's someone's turn or responsibility to take action.","Jack's friend invited him to play basketball, and now the ball was in his court to respond and accept the invitation.","5,6"
46,"Jump the gun","To start or do something too early or before it's appropriate.","Tim was so excited about the surprise party that he accidentally jumped the gun and told his friend about it before it was supposed to be revealed.","1,2,3,4"
47,"Break the ice","To make a start or initiate a conversation in a new or awkward situation.","Jenny tried to break the ice with her new classmates by asking them about their favorite hobbies.","3,4,5,6"
48,"Throw a curveball","To surprise or challenge someone with something unexpected.","Tom's teacher threw a curveball by giving an impromptu quiz that he wasn't prepared for.","1,2,3,4,5,6"
49,"Actions speak louder than words","What you do is more significant than what you say.","Sarah promised to help her brother with his homework, but he was disappointed when her actions spoke louder than words and she didn't follow through.","1,2"
50,"A picture is worth a thousand words","A visual representation can convey a lot of meaning or information.","Jack showed his mom a drawing of his dream vacation spot, and she said, A picture is worth a thousand words. It looks beautiful!","3,4"
51,"Hit the road","To leave or start a journey.","Tim packed his bags and was ready to hit the road for his family vacation.","5,6"
52,"Come rain or shine","No matter what happens or the circumstances.","Jenny is determined to attend her soccer practice come rain or shine, even if it's raining heavily.","1,2,3,4"
53,"Let the cat out of the bag","To reveal a secret or confidential information unintentionally.","Tom accidentally let the cat out of the bag and revealed the surprise party plans to his sister.","3,4,5,6"
54,"Walking on thin ice","Being in a risky or precarious situation.","Sarah knew she was walking on thin ice by procrastinating on her school project, as the deadline was approaching fast.","1,2,3,4,5,6"
